"code_article";"unite"
"00047698";"BOUTEILLE"
"00050099";"POC"
"00050103";"PI"
"00050115";"PI"
"00050338";"PI"
"00050413";"BOITE"
"00050449";"PI"
"00050455";"BOITE"
"00050460";"PI"
"00050461";"PI"
"00050465";"PI"
"00050474";"PI"
"00050479";"CAR"
"00050480";"CAR"
"00050502";"BOITE"
"00050507";"CAR"
"00050510";"PI"
"00050526";"BOITE"
"00050612";"SEAU"
"00050615";"BOITE"
"00050617";"BOITE"
"00050619";"SEAU"
"00050629";"PI"
"00050630";"BOITE"
"00050634";"BOITE"
"00050637";"BOITE"
"00050638";"BOITE"
"00050639";"BOITE"
"00050640";"BID"
"00050650";"BOITE"
"00050653";"BOITE"
"00050666";"PI"
"00050675";"PI"
"00050681";"PI"
"00050682";"PI"
"00050686";"PI"
"00050688";"PI"
"00050694";"PI"
"00050721";"PI"
"00050742";"BOITE"
"00050743";"BARQ"
"00050769";"BOITE"
"00050801";"BOITE"
"00050805";"BOITE"
"00050806";"BOITE"
"00050808";"BOITE"
"00050809";"BOITE"
"00050813";"BOITE"
"00050817";"BOITE"
"00050821";"BOITE"
"00050822";"BOITE"
"00050823";"BOITE"
"00050843";"BOITE"
"00050848";"BOITE"
"00050849";"BOITE"
"00050867";"BOITE"
"00050869";"BOITE"
"00050881";"POC"
"00050886";"BOITE"
"00050889";"POC"
"00050941";"BOITE"
"00050957";"BOITE"
"00050998";"CAR"
"00051010";"BOITE"
"00051024";"BOITE"
"00051108";"POC"
"00051109";"BOITE"
"00051137";"BOITE"
"00051212";"L"
"00051235";"PI"
"00051250";"PI"
"00051254";"PI"
"00051262";"PI"
"00051265";"PI"
"00051268";"PI"
"00051270";"PI"
"00051271";"PI"
"00051284";"PI"
"00051318";"POC"
"00051323";"SAC"
"00051324";"PI"
"00051326";"SAC"
"00051333";"BOITE"
"00051334";"BOITE"
"00051335";"PI"
"00051337";"PI"
"00051338";"PI"
"00051342";"POC"
"00051343";"PI"
"00051345";"SAC"
